건강증진센터,1786,3545,2953,NNP,*,F,건강증진센터,*,*,*,*,*
바이오자원생태농장,1786,3546,2953,NNP,*,T,바이오자원생태농장,*,*,*,*,*
학술팀관리소,1786,3545,2953,NNP,*,F,학술팀관리소,*,*,*,*,*
대학스포츠실,1786,3546,2953,NNP,*,T,대학스포츠실,*,*,*,*,*
공학교육혁신센터,1786,3545,2953,NNP,*,F,공학교육혁신센터,*,*,*,*,*
인권장애학생 지원센터,1786,3545,2953,NNP,*,F,인권장애학생 지원센터,*,*,*,*,*
2기 대학혁신지원사업 어젠다발굴위원회,1786,3545,2953,NNP,*,F,2기 대학혁신지원사업 어젠다발굴위원회,*,*,*,*,*
제112학군단,1786,3546,2953,NNP,*,T,제112학군단,*,*,*,*,*
연구부총장,1786,3546,2953,NNP,*,T,연구부총장,*,*,*,*,*
연구처,1786,3545,2953,NNP,*,F,연구처,*,*,*,*,*
연구기획실,1786,3546,2953,NNP,*,T,연구기획실,*,*,*,*,*
연구역량지원실,1786,3546,2953,NNP,*,T,연구역량지원실,*,*,*,*,*
일반대학원 학사운영실,1786,3546,2953,NNP,*,T,일반대학원 학사운영실,*,*,*,*,*
LINC+,1796,3533,-85,SL,*,F,LINC+,*,*,*,*,*
IPP,1796,3533,-85,SL,*,F,IPP,*,*,*,*,*
BRIDGE+,1796,3533,-85,SL,*,F,BRIDGE+,*,*,*,*,*
교책연구기관,1786,3546,2953,NNP,*,T,교책연구기관,*,*,*,*,*
불교학술원,1786,3546,2953,NNP,*,T,불교학술원,*,*,*,*,*
문화학술원,1786,3546,2953,NNP,*,T,문화학술원,*,*,*,*,*
미래기술원,1786,3546,2953,NNP,*,T,미래기술원,*,*,*,*,*
영상문화콘텐츠연구원,1786,3546,2953,NNP,*,T,영상문화콘텐츠연구원,*,*,*,*,*
융합안전학술원,1786,3546,2953,NNP,*,T,융합안전학술원,*,*,*,*,*
융합생명과학연구원,1786,3546,2953,NNP,*,T,융합생명과학연구원,*,*,*,*,*
중점연구기관,1786,3546,2953,NNP,*,T,중점연구기관,*,*,*,*,*
산학협력단,1786,3546,2953,NNP,*,T,산학협력단,*,*,*,*,*
산학감사팀,1786,3546,2953,NNP,*,T,산학감사팀,*,*,*,*,*
산학지원부단장,1786,3546,2953,NNP,*,T,산학지원부단장,*,*,*,*,*
산학기획실,1786,3546,2953,NNP,*,T,산학기획실,*,*,*,*,*
산학지원실,1786,3546,2953,NNP,*,T,산학지원실,*,*,*,*,*
산학회계팀,1786,3546,2953,NNP,*,T,산학회계팀,*,*,*,*,*
BMC산학협력팀,1786,3546,2953,NNP,*,T,BMC산학협력팀,*,*,*,*,*
전임상효능평가센터,1786,3545,2953,NNP,*,F,전임상효능평가센터,*,*,*,*,*
의무산학협력팀,1786,3546,2953,NNP,*,T,의무산학협력팀,*,*,*,*,*
공용기기원,1786,3546,2953,NNP,*,T,공용기기원,*,*,*,*,*
창업기술원장,1786,3546,2953,NNP,*,T,창업기술원장,*,*,*,*,*
창업진흥센터,1786,3545,2953,NNP,*,F,창업진흥센터,*,*,*,*,*
기술사업센터,1786,3545,2953,NNP,*,F,기술사업센터,*,*,*,*,*
창업보육센터,1786,3545,2953,NNP,*,F,창업보육센터,*,*,*,*,*
BMC창업보육센터,1786,3545,2953,NNP,*,F,BMC창업보육센터,*,*,*,*,*
국책사업본부장,1786,3546,2953,NNP,*,T,국책사업본부장,*,*,*,*,*
산학연협업센터,1786,3545,2953,NNP,*,F,산학연협업센터,*,*,*,*,*
현장실습지원센터,1786,3545,2953,NNP,*,F,현장실습지원센터,*,*,*,*,*
산학교육센터,1786,3545,2953,NNP,*,F,산학교육센터,*,*,*,*,*
창업교육센터,1786,3545,2953,NNP,*,F,창업교육센터,*,*,*,*,*
국책사업추진팀,1786,3546,2953,NNP,*,T,국책사업추진팀,*,*,*,*,*
AT행정팀,1786,3546,2953,NNP,*,T,AT행정팀,*,*,*,*,*
본관,1786,3546,2977,NNP,*,T,본관,*,*,*,*,*
명진관,1786,3546,2953,NNP,*,T,명진관,*,*,*,*,*
만해관,1786,3546,2953,NNP,*,T,만해관,*,*,*,*,*
법학관,1786,3546,2953,NNP,*,T,법학관,*,*,*,*,*
과학관,1786,3546,2953,NNP,*,T,과학관,*,*,*,*,*
원흥관,1786,3546,2953,NNP,*,T,원흥관,*,*,*,*,*
원흥관1,1786,3546,2953,NNP,*,T,원흥관1,*,*,*,*,*
원흥관2,1786,3546,2953,NNP,*,T,원흥관2,*,*,*,*,*
혜화관,1786,3546,2953,NNP,*,T,혜화관,*,*,*,*,*
학림관,1786,3546,2953,NNP,*,T,학림관,*,*,*,*,*
학생회관,1786,3546,2953,NNP,*,T,학생회관,*,*,*,*,*
경영관,1786,3546,2953,NNP,*,T,경영관,*,*,*,*,*
사회과학관,1786,3546,2953,NNP,*,T,사회과학관,*,*,*,*,*
문화관,1786,3546,2953,NNP,*,T,문화관,*,*,*,*,*
학술관,1786,3546,2953,NNP,*,T,학술관,*,*,*,*,*
다향관,1786,3546,2953,NNP,*,T,다향관,*,*,*,*,*
금강관,1786,3546,2953,NNP,*,T,금강관,*,*,*,*,*
계산관,1786,3546,2953,NNP,*,T,계산관,*,*,*,*,*
계산관A,1786,3546,2953,NNP,*,T,계산관A,*,*,*,*,*
계산관B,1786,3546,2953,NNP,*,T,계산관B,*,*,*,*,*
정보문화관,1786,3546,2953,NNP,*,T,정보문화관,*,*,*,*,*
